age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
27,7,2,3,0,1,0,1,4,4,179,1,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
27,1,2,0,0,0,0,0,3,2,508,1,999,0,1,1.4,93.918,-42.7,4.968,5228.1,0
37,2,0,3,0,1,0,0,3,2,812,2,999,0,1,1.4,93.918,-42.7,4.968,5228.1,1
29,9,2,5,0,1,0,0,4,4,226,2,6,1,2,-1.7,94.055,-39.8,0.704,4991.6,1
28,7,2,3,0,0,0,1,4,3,406,3,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
43,1,1,2,0,1,1,0,6,1,99,4,999,0,1,-1.8,92.893,-46.2,1.354,5099.1,0
38,1,0,2,0,0,0,0,3,0,764,2,999,0,1,1.4,93.918,-42.7,4.963,5228.1,1
31,0,2,3,0,0,0,0,3,3,140,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
57,4,1,2,0,0,0,1,6,4,890,26,999,0,1,1.1,93.994,-36.4,4.858,5191.0,0
43,4,1,1,0,0,0,0,0,4,121,1,999,1,0,-1.8,93.075,-47.1,1.415,5099.1,0
33,1,1,2,0,1,0,0,6,4,293,1,11,1,2,-1.8,92.893,-46.2,1.334,5099.1,0
46,2,2,6,0,1,1,0,0,1,142,12,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,0
60,4,1,6,0,1,1,0,3,2,395,1,4,2,2,-1.7,94.215,-40.3,0.782,4991.6,1
56,9,0,5,0,1,1,0,8,1,170,5,999,0,1,-1.1,94.601,-49.5,1.0,4963.6,0
43,4,1,6,0,0,0,1,4,0,13,5,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
36,4,1,6,0,1,0,1,6,4,578,2,999,0,1,1.1,93.994,-36.4,4.858,5191.0,0
36,2,2,6,0,0,0,0,7,4,1120,2,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,1
30,0,1,6,0,0,0,0,1,0,705,2,999,0,1,1.4,93.444,-36.1,4.964,5228.1,0
50,10,1,3,0,0,0,1,4,4,373,2,999,0,1,1.4,94.465,-41.8,4.962,5228.1,0
35,1,1,1,0,1,0,0,6,3,155,1,999,0,1,-1.8,92.893,-46.2,1.344,5099.1,0
32,2,1,6,0,1,1,1,7,1,249,1,999,1,0,-0.1,93.2,-42.0,4.191,5195.8,0
47,2,1,6,0,1,1,0,1,1,216,1,999,0,1,1.4,93.444,-36.1,4.97,5228.1,0
86,5,0,0,0,1,0,0,7,4,237,1,999,1,0,-3.4,92.649,-30.1,0.716,5017.5,0
42,9,2,6,0,1,0,0,1,3,578,2,999,0,1,1.4,93.444,-36.1,4.966,5228.1,0
41,3,2,6,0,1,0,1,6,1,9,5,999,0,1,-1.8,92.893,-46.2,1.299,5099.1,0
29,0,2,3,0,1,0,0,6,2,54,11,999,0,1,-1.8,92.893,-46.2,1.266,5099.1,0
54,9,1,6,0,1,0,1,6,4,464,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
35,9,2,6,0,1,1,0,6,4,310,2,999,0,1,-1.8,92.893,-46.2,1.281,5099.1,0
35,1,1,5,0,1,0,0,7,3,139,1,999,0,1,-0.1,93.2,-42.0,4.153,5195.8,0
42,0,2,6,0,0,0,1,6,3,71,3,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
32,9,1,6,0,0,0,0,1,2,251,1,999,0,1,1.4,93.444,-36.1,4.968,5228.1,0
36,0,2,6,0,1,0,0,3,2,536,7,999,0,1,1.4,93.918,-42.7,4.968,5228.1,0
33,0,0,6,0,1,0,1,7,2,119,3,999,0,1,-0.1,93.2,-42.0,4.076,5195.8,0
54,1,1,0,0,0,0,0,1,2,314,3,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
36,9,2,6,0,1,0,1,6,2,163,2,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
40,6,1,2,0,1,1,0,0,1,64,4,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
36,3,1,3,0,1,0,1,4,0,19,11,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
48,7,1,3,0,0,0,0,3,1,157,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
33,2,1,6,0,1,0,0,3,1,766,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
48,0,1,3,0,1,0,0,3,2,903,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
47,4,1,6,0,1,0,0,9,2,281,2,999,1,0,-1.1,94.199,-37.5,0.884,4963.6,0
34,0,2,6,0,1,0,0,4,1,452,1,999,0,1,-1.7,94.055,-39.8,0.754,4991.6,1
39,6,1,6,0,1,0,0,7,3,122,2,999,0,1,-0.1,93.2,-42.0,4.153,5195.8,0
30,1,1,1,0,0,0,1,4,4,201,2,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
47,4,1,3,0,1,0,0,7,4,86,2,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
57,5,1,6,0,1,0,0,1,1,349,1,999,0,1,-2.9,92.201,-31.4,0.843,5076.2,0
33,0,1,6,0,0,0,1,7,1,98,1,999,0,1,-0.1,93.2,-42.0,4.733,5195.8,0
37,0,1,6,0,0,0,0,1,4,996,1,999,0,1,1.4,93.444,-36.1,4.967,5228.1,1
56,5,1,6,0,1,0,0,1,3,377,3,999,0,1,1.4,93.444,-36.1,4.968,5228.1,0
37,9,2,5,0,1,0,0,1,0,50,2,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
30,9,2,3,0,1,0,0,1,3,276,2,999,0,1,1.4,93.444,-36.1,4.968,5228.1,0
23,1,2,0,0,1,0,1,0,2,287,1,999,0,1,-1.8,93.075,-47.1,1.41,5099.1,0
52,4,1,3,0,0,0,0,1,3,408,1,999,0,1,-2.9,92.201,-31.4,0.883,5076.2,1
31,9,2,5,0,1,0,0,1,4,449,3,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
37,0,2,6,0,1,1,0,5,1,161,2,999,0,1,-1.8,92.843,-50.0,1.703,5099.1,0
20,1,2,3,0,1,0,0,6,4,159,1,999,0,1,-1.8,92.893,-46.2,1.334,5099.1,0
50,9,1,1,0,1,0,1,6,3,418,2,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
33,9,1,5,0,0,0,0,1,3,1241,2,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
25,3,2,3,0,0,0,0,3,4,1156,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
36,0,2,6,0,0,0,0,7,4,149,1,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
39,9,1,3,0,0,0,0,1,1,225,2,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
34,9,1,5,0,1,0,0,6,2,30,1,999,1,0,-1.8,92.893,-46.2,1.266,5099.1,0
42,10,1,2,0,0,0,1,6,4,174,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
45,0,0,5,0,0,1,0,6,0,132,1,999,1,0,-1.8,92.893,-46.2,1.313,5099.1,0
31,9,2,6,0,1,0,1,0,3,847,2,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,1
33,0,2,6,0,0,0,0,3,0,704,1,999,0,1,-2.9,92.469,-33.6,1.059,5076.2,1
27,0,2,6,0,0,1,1,4,2,263,2,999,0,1,1.4,94.465,-41.8,4.866,5228.1,0
41,0,1,3,0,1,0,1,6,2,317,7,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
51,5,1,2,0,0,0,1,6,3,166,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
29,0,1,6,0,1,1,0,3,1,425,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
26,10,2,3,0,0,0,1,3,3,173,1,999,0,1,1.4,93.918,-42.7,4.955,5228.1,0
27,0,2,6,0,0,0,0,3,3,1237,7,999,0,1,1.4,93.918,-42.7,4.961,5228.1,1
40,1,1,0,0,1,0,0,7,2,377,3,999,0,1,-0.1,93.2,-42.0,4.076,5195.8,0
45,0,1,2,0,1,0,1,6,3,29,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
47,0,1,3,0,0,0,0,6,4,99,2,999,0,1,-1.8,92.893,-46.2,1.27,5099.1,0
28,1,2,2,0,1,0,0,6,4,294,1,999,0,1,-1.8,92.893,-46.2,1.281,5099.1,0
40,0,1,6,0,0,0,0,1,1,246,1,3,1,2,-2.9,92.201,-31.4,0.884,5076.2,0
38,0,1,6,0,0,1,1,4,3,346,2,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
34,4,1,6,0,1,0,0,7,2,91,4,999,0,1,-0.1,93.2,-42.0,4.076,5195.8,0
45,7,1,3,0,0,0,1,3,3,80,2,999,0,1,1.4,93.918,-42.7,4.961,5228.1,0
24,8,2,6,0,1,1,1,6,0,65,3,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
