age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
27,7,2,3,0,1,0,1,4,4,179,1,999,0,1,1.4,94.5,-41.8,4.9,5228.1,0
27,1,2,0,0,0,0,0,3,2,508,1,999,0,1,1.4,93.9,-42.7,5.0,5228.1,0
28,7,2,3,0,0,0,1,4,3,406,3,999,0,1,1.4,94.5,-41.8,5.0,5228.1,0
43,1,1,2,0,1,1,0,6,1,99,4,999,0,1,-1.8,92.9,-46.2,1.4,5099.1,0
31,0,2,3,0,0,0,0,3,3,140,3,999,0,1,1.4,93.9,-42.7,5.0,5228.1,0
56,9,0,5,0,1,1,0,8,1,170,5,999,0,1,-1.1,94.6,-49.5,1.0,4963.6,0
43,4,1,6,0,0,0,1,4,0,13,5,999,0,1,1.4,94.5,-41.8,5.0,5228.1,0
36,4,1,6,0,1,0,1,6,4,578,2,999,0,1,1.1,94.0,-36.4,4.9,5191.0,0
50,10,1,3,0,0,0,1,4,4,373,2,999,0,1,1.4,94.5,-41.8,5.0,5228.1,0
35,1,1,1,0,1,0,0,6,3,155,1,999,0,1,-1.8,92.9,-46.2,1.3,5099.1,0
47,2,1,6,0,1,1,0,1,1,216,1,999,0,1,1.4,93.4,-36.1,5.0,5228.1,0
42,9,2,6,0,1,0,0,1,3,578,2,999,0,1,1.4,93.4,-36.1,5.0,5228.1,0
41,3,2,6,0,1,0,1,6,1,9,5,999,0,1,-1.8,92.9,-46.2,1.3,5099.1,0
54,9,1,6,0,1,0,1,6,4,464,1,999,0,1,1.1,94.0,-36.4,4.9,5191.0,0
35,9,2,6,0,1,1,0,6,4,310,2,999,0,1,-1.8,92.9,-46.2,1.3,5099.1,0
35,1,1,5,0,1,0,0,7,3,139,1,999,0,1,-0.1,93.2,-42.0,4.2,5195.8,0
42,0,2,6,0,0,0,1,6,3,71,3,999,0,1,1.1,94.0,-36.4,4.9,5191.0,0
32,9,1,6,0,0,0,0,1,2,251,1,999,0,1,1.4,93.4,-36.1,5.0,5228.1,0
33,0,0,6,0,1,0,1,7,2,119,3,999,0,1,-0.1,93.2,-42.0,4.1,5195.8,0
54,1,1,0,0,0,0,0,1,2,314,3,999,0,1,1.4,93.4,-36.1,5.0,5228.1,0
36,9,2,6,0,1,0,1,6,2,163,2,999,0,1,1.1,94.0,-36.4,4.9,5191.0,0
40,6,1,2,0,1,1,0,0,1,64,4,999,0,1,-1.8,93.1,-47.1,1.4,5099.1,0
48,7,1,3,0,0,0,0,3,1,157,3,999,0,1,1.4,93.9,-42.7,5.0,5228.1,0
34,0,2,6,0,1,0,0,4,1,452,1,999,0,1,-1.7,94.1,-39.8,0.8,4991.6,1
39,6,1,6,0,1,0,0,7,3,122,2,999,0,1,-0.1,93.2,-42.0,4.2,5195.8,0
30,1,1,1,0,0,0,1,4,4,201,2,999,0,1,1.4,94.5,-41.8,4.9,5228.1,0
47,4,1,3,0,1,0,0,7,4,86,2,999,0,1,-0.1,93.2,-42.0,4.1,5195.8,0
57,5,1,6,0,1,0,0,1,1,349,1,999,0,1,-2.9,92.2,-31.4,0.8,5076.2,0
33,0,1,6,0,0,0,1,7,1,98,1,999,0,1,-0.1,93.2,-42.0,4.7,5195.8,0
56,5,1,6,0,1,0,0,1,3,377,3,999,0,1,1.4,93.4,-36.1,5.0,5228.1,0
37,9,2,5,0,1,0,0,1,0,50,2,999,0,1,1.4,93.4,-36.1,5.0,5228.1,0
30,9,2,3,0,1,0,0,1,3,276,2,999,0,1,1.4,93.4,-36.1,5.0,5228.1,0
23,1,2,0,0,1,0,1,0,2,287,1,999,0,1,-1.8,93.1,-47.1,1.4,5099.1,0
52,4,1,3,0,0,0,0,1,3,408,1,999,0,1,-2.9,92.2,-31.4,0.9,5076.2,1
31,9,2,5,0,1,0,0,1,4,449,3,999,0,1,1.4,93.4,-36.1,5.0,5228.1,0
37,0,2,6,0,1,1,0,5,1,161,2,999,0,1,-1.8,92.8,-50.0,1.7,5099.1,0
20,1,2,3,0,1,0,0,6,4,159,1,999,0,1,-1.8,92.9,-46.2,1.3,5099.1,0
50,9,1,1,0,1,0,1,6,3,418,2,999,0,1,1.1,94.0,-36.4,4.9,5191.0,0
36,0,2,6,0,0,0,0,7,4,149,1,999,0,1,-0.1,93.2,-42.0,4.1,5195.8,0
39,9,1,3,0,0,0,0,1,1,225,2,999,0,1,1.4,93.4,-36.1,5.0,5228.1,0
42,10,1,2,0,0,0,1,6,4,174,1,999,0,1,1.1,94.0,-36.4,4.9,5191.0,0
27,0,2,6,0,0,1,1,4,2,263,2,999,0,1,1.4,94.5,-41.8,4.9,5228.1,0
51,5,1,2,0,0,0,1,6,3,166,1,999,0,1,1.1,94.0,-36.4,4.9,5191.0,0
29,0,1,6,0,1,1,0,3,1,425,3,999,0,1,1.4,93.9,-42.7,5.0,5228.1,0
26,10,2,3,0,0,0,1,3,3,173,1,999,0,1,1.4,93.9,-42.7,5.0,5228.1,0
40,1,1,0,0,1,0,0,7,2,377,3,999,0,1,-0.1,93.2,-42.0,4.1,5195.8,0
45,0,1,2,0,1,0,1,6,3,29,1,999,0,1,1.1,94.0,-36.4,4.9,5191.0,0
47,0,1,3,0,0,0,0,6,4,99,2,999,0,1,-1.8,92.9,-46.2,1.3,5099.1,0
28,1,2,2,0,1,0,0,6,4,294,1,999,0,1,-1.8,92.9,-46.2,1.3,5099.1,0
38,0,1,6,0,0,1,1,4,3,346,2,999,0,1,1.4,94.5,-41.8,5.0,5228.1,0
34,4,1,6,0,1,0,0,7,2,91,4,999,0,1,-0.1,93.2,-42.0,4.1,5195.8,0
45,7,1,3,0,0,0,1,3,3,80,2,999,0,1,1.4,93.9,-42.7,5.0,5228.1,0
24,8,2,6,0,1,1,1,6,0,65,3,999,0,1,1.1,94.0,-36.4,4.9,5191.0,0
63,3,1,0,0,0,0,0,1,3,479,1,999,0,1,-2.9,92.2,-31.4,0.8,5076.2,1
45,1,1,0,0,0,0,1,6,2,164,1,999,0,1,1.1,94.0,-36.4,4.9,5191.0,0
40,4,1,1,0,0,0,0,7,1,56,1,999,0,1,-0.1,93.2,-42.0,4.2,5195.8,0
38,4,0,6,0,1,0,0,1,3,345,2,999,0,1,1.4,93.4,-36.1,5.0,5228.1,0
31,9,2,3,0,1,1,0,1,3,559,2,999,0,1,1.4,93.4,-36.1,5.0,5228.1,1
47,9,1,5,0,1,0,0,1,1,506,1,999,0,1,1.4,93.4,-36.1,5.0,5228.1,0
33,0,2,6,0,1,0,1,4,3,61,2,999,0,1,1.4,94.5,-41.8,5.0,5228.1,0
39,3,1,0,0,1,0,1,6,3,54,2,999,0,1,1.1,94.0,-36.4,4.9,5191.0,0
53,9,1,5,0,0,0,1,6,0,260,1,999,0,1,1.1,94.0,-36.4,4.9,5191.0,0
34,7,1,3,0,0,0,1,6,1,298,2,999,0,1,1.1,94.0,-36.4,4.9,5191.0,0
24,1,2,2,0,0,0,0,6,1,297,1,999,0,1,-1.8,92.9,-46.2,1.2,5099.1,0
31,10,0,0,0,1,0,1,4,4,48,1,999,0,1,1.4,94.5,-41.8,5.0,5228.1,0
38,0,1,6,0,0,0,1,6,4,111,4,999,0,1,1.1,94.0,-36.4,4.9,5191.0,0
50,7,1,3,0,1,0,0,0,1,12,6,999,0,1,-1.8,93.1,-47.1,1.4,5099.1,0
40,9,1,3,0,1,0,0,7,4,118,1,999,0,1,-0.1,93.2,-42.0,4.1,5195.8,0
46,1,1,2,0,0,1,1,6,3,394,1,999,0,1,1.1,94.0,-36.4,4.9,5191.0,0
42,9,1,3,0,0,0,0,1,1,70,3,999,0,1,1.4,93.4,-36.1,5.0,5228.1,0
46,0,1,3,0,0,0,1,0,2,268,1,999,0,1,-1.8,93.1,-47.1,1.4,5099.1,0
36,3,1,1,0,0,0,0,1,1,210,2,999,0,1,1.4,93.4,-36.1,5.0,5228.1,0
35,0,2,6,0,1,0,1,7,3,263,2,999,0,1,-0.1,93.2,-42.0,4.2,5195.8,0
55,3,2,6,0,1,0,1,1,3,11,1,999,0,1,-1.7,94.0,-38.3,0.9,4991.6,0
